Camera Data Test,,,,,,
,,,,,,
15 minute a,precision    ,recall  ,f1-score   ,support,,
,,,,,,
         low ,0.90,0.88,0.89,240,,
         mid ,0.78,0.79,0.78,165,,
        high ,0.97,0.97,0.97,331,,
,,,,,,
    accuracy ,             ,        ,0.90,736,,
   macro avg ,0.88,0.88,0.88,736,,
weighted avg ,0.90,0.90,0.90,736,,
,,,,,,
,,,,,,
           30 minute a   ,precision    ,recall  ,f1-score   ,support,,
,,,,,,
         low  ,0.82,0.87,0.84,209,,
         mid  ,0.77,0.67,0.72,165,,
        high  ,0.95,0.98,0.96,266,,
,,,,,,
    accuracy  ,             ,        ,0.86,640,,
   macro avg  ,0.85,0.84,0.84,640,,
weighted avg  ,0.86,0.86,0.86,640,,
,,,,,,
,,,,,,
45 minute a              ,precision    ,recall  ,f1-score   ,support,,
,,,,,,
         low  ,0.80,0.83,0.82,217,,
         mid  ,0.72,0.64,0.68,168,,
        high  ,0.95,0.98,0.96,255,,
,,,,,,
    accuracy  ,             ,        ,0.84,640,,
   macro avg  ,0.82,0.82,0.82,640,,
weighted avg  ,0.84,0.84,0.84,640,,
,,,,,,
,,,,,,
,,,,,,
            60 minute a  ,precision    ,recall  ,f1-score   ,support,,
,,,,,,
         low  ,0.78,0.79,0.78,222,,
         mid  ,0.67,0.63,0.65,174,,
        high  ,0.94,0.97,0.96,244,,
,,,,,,
    accuracy  ,             ,        ,0.81,640,,
   macro avg  ,0.80,0.80,0.80,640,,
weighted avg  ,0.81,0.81,0.81,640,,
,,,,,,
,,,,,,
,,,,,,
75 minute a              ,precision    ,recall  ,f1-score   ,support,,
,,,,,,
         low  ,0.61,0.87,0.71,228,,
         mid  ,0.43,0.21,0.28,178,,
        high  ,0.94,0.92,0.93,234,,
,,,,,,
    accuracy  ,             ,        ,0.70,640,,
   macro avg  ,0.66,0.67,0.64,640,,
weighted avg  ,0.68,0.70,0.67,640,,
,,,,,,
,,,,,,
,,,,,,
90 minute a,precision    ,recall  ,f1-score   ,support,,
,,,,,,
         low  ,0.75,0.67,0.71,232,,
         mid  ,0.56,0.65,0.60,184,,
        high  ,0.94,0.92,0.93,224,,
,,,,,,
    accuracy  ,             ,        ,0.75,640,,
   macro avg  ,0.75,0.75,0.75,640,,
weighted avg  ,0.76,0.75,0.75,640,,